#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
195,"Pedro José Méndez, Tamps.",Pedro José Méndez,Golfo Norte,Tamaulipas,449.4,38.36,447.22,31.26,447.28,31.44,101
194,"Ignacio Ramírez, Méx.",La Gavia,Lerma-Santiago-Pacífico,México,2550.48,36.3,2548.48,20.5,2548.46,20.363,99
193,"Francisco José Trinidad Fabela, Méx.",Isla de las Aves o El Salto,Lerma-Santiago-Pacífico,México,2697.8,10,2696.7,9.93,2693.74,4.885,49
192,"La Esperanza, Hgo.",La Esperanza,Golfo Norte,Hidalgo,2209.6,4.2,2207.7,3.92,2207.38,3.777,96
191,"Ángel Albino Corzo, Chis.",Peñitas,Frontera Sur,Chiapas,93,1448.43,87.4,1091.1,86.48,1041.21,95
190,"Plutarco Elías Calles, Son.",El Novillo,Noroeste,Sonora,296.8,3443.5,290.5,2833.07,285.33,2325.4,82
189,"Plutarco Elías Calles, Ags.",Calles,Lerma-Santiago-Pacífico,Aguascalientes,2022,407.438,2020,358.121,2006.93,118.16,33
188,"Palomas, Zac.",Palomas,Lerma-Santiago-Pacífico,Zacatecas,1907.48,8.749,1904.25,4.611,1904.22,6.256,136
187,"Peña del Águila, Dgo.",Peña del Águila,Pacífico Norte,Durango,1895.27,54.721,1892.5,27.948,1892.3,30.391,109
186,"Gustavo Díaz Ordaz, Sin.",Bacurato,Pacífico Norte,Sinaloa,252.5,2687.074,237.06,1618.8,223.07,1010.41,62
185,"Sierra de Guadalupe, Méx.",Guadalupe,Aguas del Valle de México,México,2306.82,63.9,2305.2,56.7,2302.6,46.45,82
184,"Ing. Guillermo Blake Aguilar, Sin.",El Sabinal o El Cajón,Pacífico Norte,Sinaloa,196.61,468.624,188.45,294.02,171.34,86.668,29
183,"Francisco Zarco, Dgo.",Las Tortolas,Cuencas Centrales del Norte,Durango,1210.05,383.16,1208.2,309.24,1202.17,133.544,43
182,"Francisco Villa, Dgo.",El Bosque,Pacífico Norte,Durango,1996.13,96.57,1993,73.26,1992.68,76.684,105
